2025-04-27T08:12:39.910Z | ERROR | Error in register-sent-code | Data: {"error":"Cannot destructure property 'name' of 'req.body' as it is undefined.","stack":"TypeError: Cannot destructure property 'name' of 'req.body' as it is undefined.\n    at register (/home/masarat/node-js/messanger-chat/controller/Auth/AuthContrller.js:7:16)\n    at Layer.handleRequest (/home/masarat/node-js/messanger-chat/node_modules/router/lib/layer.js:152:17)\n    at next (/home/masarat/node-js/messanger-chat/node_modules/router/lib/route.js:157:13)\n    at middleware (/home/masarat/node-js/messanger-chat/node_modules/express-validator/lib/middlewares/check.js:16:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-04-27T08:25:08.336Z | ERROR | Error in register-sent-code | Data: {"error":"User.generateHash is not a function","stack":"TypeError: User.generateHash is not a function\n    at register (/home/masarat/node-js/messanger-chat/controller/Auth/AuthContrller.js:8:88)\n    at Layer.handleRequest (/home/masarat/node-js/messanger-chat/node_modules/router/lib/layer.js:152:17)\n    at next (/home/masarat/node-js/messanger-chat/node_modules/router/lib/route.js:157:13)\n    at handelErrorValidate (/home/masarat/node-js/messanger-chat/Helpier/errorValidate.js:14:5)\n    at Layer.handleRequest (/home/masarat/node-js/messanger-chat/node_modules/router/lib/layer.js:152:17)\n    at next (/home/masarat/node-js/messanger-chat/node_modules/router/lib/route.js:157:13)\n    at middleware (/home/masarat/node-js/messanger-chat/node_modules/express-validator/lib/middlewares/check.js:16:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-04-27T08:41:01.300Z | ERROR | Error in register-sent-code | Data: {"error":"User.generateHash is not a function","stack":"TypeError: User.generateHash is not a function\n    at register (/home/masarat/node-js/messanger-chat/controller/Auth/AuthContrller.js:8:88)\n    at Layer.handleRequest (/home/masarat/node-js/messanger-chat/node_modules/router/lib/layer.js:152:17)\n    at next (/home/masarat/node-js/messanger-chat/node_modules/router/lib/route.js:157:13)\n    at handelErrorValidate (/home/masarat/node-js/messanger-chat/Helpier/errorValidate.js:14:5)\n    at Layer.handleRequest (/home/masarat/node-js/messanger-chat/node_modules/router/lib/layer.js:152:17)\n    at next (/home/masarat/node-js/messanger-chat/node_modules/router/lib/route.js:157:13)\n    at middleware (/home/masarat/node-js/messanger-chat/node_modules/express-validator/lib/middlewares/check.js:16:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-04-27T08:44:06.806Z | ERROR | Error in register-sent-code | Data: {"error":"User validation failed: email_code_verified: Cast to date failed for value \"$2b$10$q6SxHE5w2mZCGj.GEs8MfO3g1B18K9QiyxZzvVedMkiMAZebWb85e\" (type string) at path \"email_code_verified\"","stack":"ValidationError: User validation failed: email_code_verified: Cast to date failed for value \"$2b$10$q6SxHE5w2mZCGj.GEs8MfO3g1B18K9QiyxZzvVedMkiMAZebWb85e\" (type string) at path \"email_code_verified\"\n    at Document.invalidate (/home/masarat/node-js/messanger-chat/node_modules/mongoose/lib/document.js:3351:32)\n    at model.$set (/home/masarat/node-js/messanger-chat/node_modules/mongoose/lib/document.js:1480:12)\n    at model.set [as email_code_verified] (/home/masarat/node-js/messanger-chat/node_modules/mongoose/lib/helpers/document/compile.js:205:19)\n    at userSchema.methods.sentCodeVerification (/home/masarat/node-js/messanger-chat/model/UserModel.js:33:30)\n    at async register (/home/masarat/node-js/messanger-chat/controller/Auth/AuthContrller.js:12:13)"}
2025-04-29T13:57:21.377Z | ERROR | Error in register | Data: {"error":"Illegal arguments: number, string","stack":"Error: Illegal arguments: number, string\n    at _async (/home/masarat/node-js/messanger-chat/node_modules/bcryptjs/umd/index.js:305:15)\n    at /home/masarat/node-js/messanger-chat/node_modules/bcryptjs/umd/index.js:335:11\n    at new Promise (<anonymous>)\n    at Object.compare (/home/masarat/node-js/messanger-chat/node_modules/bcryptjs/umd/index.js:334:16)\n    at verifyCode (/home/masarat/node-js/messanger-chat/controller/Auth/AuthContrller.js:44:40)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-04-29T13:59:09.570Z | ERROR | Error in register | Data: {"error":"Illegal arguments: number, string","stack":"Error: Illegal arguments: number, string\n    at _async (/home/masarat/node-js/messanger-chat/node_modules/bcryptjs/umd/index.js:305:15)\n    at /home/masarat/node-js/messanger-chat/node_modules/bcryptjs/umd/index.js:335:11\n    at new Promise (<anonymous>)\n    at Object.compare (/home/masarat/node-js/messanger-chat/node_modules/bcryptjs/umd/index.js:334:16)\n    at verifyCode (/home/masarat/node-js/messanger-chat/controller/Auth/AuthContrller.js:44:40)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-04-29T14:01:52.096Z | ERROR | Error in register | Data: {"error":"Invalid status code: undefined. Status code must be an integer.","stack":"TypeError: Invalid status code: undefined. Status code must be an integer.\n    at ServerResponse.status (/home/masarat/node-js/messanger-chat/node_modules/express/lib/response.js:65:11)\n    at verifyCode (/home/masarat/node-js/messanger-chat/controller/Auth/AuthContrller.js:46:24)"}
2025-05-01T21:10:43.982Z | ERROR | Error in register-sent-code | Data: {"error":"secretOrPrivateKey must have a value","stack":"Error: secretOrPrivateKey must have a value\n    at module.exports [as sign] (D:\\node-js\\messanger-chat\\node_modules\\jsonwebtoken\\sign.js:111:20)\n    at login (D:\\node-js\\messanger-chat\\controller\\Auth\\AuthContrller.js:123:27)"}
2025-05-01T21:11:35.208Z | ERROR | Error in register-sent-code | Data: {"error":"secretOrPrivateKey must have a value","stack":"Error: secretOrPrivateKey must have a value\n    at module.exports [as sign] (D:\\node-js\\messanger-chat\\node_modules\\jsonwebtoken\\sign.js:111:20)\n    at login (D:\\node-js\\messanger-chat\\controller\\Auth\\AuthContrller.js:123:27)"}
2025-05-01T21:11:55.965Z | ERROR | Error in register-sent-code | Data: {"error":"secretOrPrivateKey must have a value","stack":"Error: secretOrPrivateKey must have a value\n    at module.exports [as sign] (D:\\node-js\\messanger-chat\\node_modules\\jsonwebtoken\\sign.js:111:20)\n    at login (D:\\node-js\\messanger-chat\\controller\\Auth\\AuthContrller.js:123:27)"}
2025-05-02T13:26:33.003Z | ERROR | Error in register | Data: {"error":"User.generateHash is not a function","stack":"TypeError: User.generateHash is not a function\n    at register (D:\\node-js\\messanger-chat\\controller\\Auth\\AuthContrller.js:9:88)\n    at Layer.handleRequest (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\layer.js:152:17)\n    at next (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\route.js:157:13)\n    at handelErrorValidate (D:\\node-js\\messanger-chat\\Helpier\\errorValidate.js:14:5)\n    at Layer.handleRequest (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\layer.js:152:17)\n    at next (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\route.js:157:13)\n    at middleware (D:\\node-js\\messanger-chat\\node_modules\\express-validator\\lib\\middlewares\\check.js:16:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-05-02T13:28:12.989Z | ERROR | Error in register | Data: {"error":"User.generateHash is not a function","stack":"TypeError: User.generateHash is not a function\n    at register (D:\\node-js\\messanger-chat\\controller\\Auth\\AuthContrller.js:9:88)\n    at Layer.handleRequest (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\layer.js:152:17)\n    at next (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\route.js:157:13)\n    at handelErrorValidate (D:\\node-js\\messanger-chat\\Helpier\\errorValidate.js:14:5)\n    at Layer.handleRequest (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\layer.js:152:17)\n    at next (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\route.js:157:13)\n    at middleware (D:\\node-js\\messanger-chat\\node_modules\\express-validator\\lib\\middlewares\\check.js:16:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-05-02T13:28:44.503Z | ERROR | Error in register | Data: {"error":"User.generateHash is not a function","stack":"TypeError: User.generateHash is not a function\n    at register (D:\\node-js\\messanger-chat\\controller\\Auth\\AuthContrller.js:9:88)\n    at Layer.handleRequest (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\layer.js:152:17)\n    at next (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\route.js:157:13)\n    at handelErrorValidate (D:\\node-js\\messanger-chat\\Helpier\\errorValidate.js:14:5)\n    at Layer.handleRequest (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\layer.js:152:17)\n    at next (D:\\node-js\\messanger-chat\\node_modules\\router\\lib\\route.js:157:13)\n    at middleware (D:\\node-js\\messanger-chat\\node_modules\\express-validator\\lib\\middlewares\\check.js:16:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-05-06T08:12:22.749Z | ERROR | Error in login | Data: {"error":"C08C099969770000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:1605:SSL alert number 80\n","stack":"MongoServerSelectionError: C08C099969770000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:1605:SSL alert number 80\n\n    at Topology.selectServer (/home/masarat/node-js/messanger-chat/node_modules/mongodb/lib/sdam/topology.js:321:38)\n    at async tryOperation (/home/masarat/node-js/messanger-chat/node_modules/mongodb/lib/operations/execute_operation.js:145:18)\n    at async executeOperation (/home/masarat/node-js/messanger-chat/node_modules/mongodb/lib/operations/execute_operation.js:75:16)\n    at async FindCursor._initialize (/home/masarat/node-js/messanger-chat/node_modules/mongodb/lib/cursor/find_cursor.js:61:26)\n    at async FindCursor.cursorInit (/home/masarat/node-js/messanger-chat/node_modules/mongodb/lib/cursor/abstract_cursor.js:633:27)\n    at async FindCursor.fetchBatch (/home/masarat/node-js/messanger-chat/node_modules/mongodb/lib/cursor/abstract_cursor.js:667:13)\n    at async FindCursor.next (/home/masarat/node-js/messanger-chat/node_modules/mongodb/lib/cursor/abstract_cursor.js:347:17)\n    at async Collection.findOne (/home/masarat/node-js/messanger-chat/node_modules/mongodb/lib/collection.js:277:21)\n    at async model.Query._findOne (/home/masarat/node-js/messanger-chat/node_modules/mongoose/lib/query.js:2661:15)\n    at async model.Query.exec (/home/masarat/node-js/messanger-chat/node_modules/mongoose/lib/query.js:4456:63)"}
